id,titulo,orcamento,bilheteria_mundial,duracao_minutos,nota_media,numero_votos,metascore,produtoras,locacoes_filmagem
tt0111161,The Shawshank Redemption,25000000.0,29424909.0,142.0,9.3,3219026.0,82.0,"[{'id': 'co0040620', 'name': 'Castle Rock Entertainment'}]","['Butler, Ohio, USA']"
tt0068646,The Godfather,6000000.0,250933436.0,175.0,9.2,2244201.0,100.0,"[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0921482', 'name': 'Albert S. Ruddy Productions'}, {'id': 'co0255097', 'name': 'Alfran Productions'}]","[""Forza d'Agrò, Messina, Sicily, Italy""]"
tt0468569,The Dark Knight,185000000.0,1008480203.0,152.0,9.1,3204629.0,85.0,"[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co1041831', 'name': 'Legendary Pictures'}, {'id': 'co0038332', 'name': 'DC Comics'}]","['Chicago, Illinois, USA']"
tt0071562,The Godfather Part II,13000000.0,48209545.0,202.0,9.0,1505420.0,90.0,"[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0099634', 'name': 'The Coppola Company'}, {'id': 'co0020958', 'name': 'American Zoetrope'}]","['Kaiser Estate - 4000 W Lake Blvd, Homewood, Lake Tahoe, California, USA']"
tt0167260,The Lord of the Rings: The Return of the King,94000000.0,1149453674.0,201.0,9.0,2181632.0,94.0,"[{'id': 'co0046718', 'name': 'New Line Cinema'}, {'id': 'co0046203', 'name': 'WingNut Films'}, {'id': 'co0061706', 'name': 'The Saul Zaentz Company'}]","['Hinuera Valley, Matamata, Waikato, New Zealand']"
tt0050083,12 Angry Men,350000.0,13168.0,96.0,9.0,996035.0,97.0,"[{'id': 'co0032902', 'name': 'Orion-Nova Productions'}]","['New York County Courthouse - 60 Centre Street, New York City, New York, USA']"
tt0108052,Schindler's List,22000000.0,322161245.0,195.0,9.0,1595817.0,95.0,"[{'id': 'co0005073', 'name': 'Universal Pictures'}, {'id': 'co0009119', 'name': 'Amblin Entertainment'}]","['Auschwitz-Birkenau Concentration Camp, Oswiecim, Malopolskie, Poland']"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,93000000.0,897539618.0,178.0,8.9,2224790.0,92.0,"[{'id': 'co0046718', 'name': 'New Line Cinema'}, {'id': 'co0046203', 'name': 'WingNut Films'}, {'id': 'co0614377', 'name': 'Marzano Films'}]","['Wellington, New Zealand']"
tt0110912,Pulp Fiction,8000000.0,213928762.0,154.0,8.8,2455116.0,95.0,"[{'id': 'co0022594', 'name': 'Miramax'}, {'id': 'co0019267', 'name': 'A Band Apart'}, {'id': 'co0010434', 'name': 'Jersey Films'}]","['1435 Flower Street, Glendale, California, USA']"
tt0060196,"The Good, the Bad and the Ugly",1200000.0,25280183.0,178.0,8.8,896337.0,90.0,"[{'id': 'co0013844', 'name': 'Produzioni Europee Associate (PEA)'}, {'id': 'co0046114', 'name': 'Arturo González Producciones Cinematográficas'}, {'id': 'co0002257', 'name': 'Constantin Film'}]","['Cabo de Gata, Almería, Andalucía, Spain']"
tt0167261,The Lord of the Rings: The Two Towers,94000000.0,945185917.0,179.0,8.8,1973312.0,87.0,"[{'id': 'co0046718', 'name': 'New Line Cinema'}, {'id': 'co0046203', 'name': 'WingNut Films'}, {'id': 'co0061706', 'name': 'The Saul Zaentz Company'}]","['Hinuera Valley, Matamata, Waikato, New Zealand']"
tt0109830,Forrest Gump,55000000.0,678226465.0,142.0,8.8,2519721.0,82.0,"[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0024369', 'name': 'The Steve Tisch Company'}, {'id': 'co0004317', 'name': 'Wendy Finerman Productions'}]","['Chippewa Square, Savannah, Georgia, USA']"
tt0137523,Fight Club,63000000.0,102438967.0,139.0,8.8,2641980.0,67.0,"[{'id': 'co0017497', 'name': 'Fox 2000 Pictures'}, {'id': 'co0867908', 'name': 'Regency Enterprises'}, {'id': 'co0038102', 'name': 'Linson Films'}]","['240 North Neptune Avenue, Los Angeles, California, USA']"
tt1375666,Inception,160000000.0,839796627.0,148.0,8.8,2849077.0,74.0,"[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co1041831', 'name': 'Legendary Pictures'}, {'id': 'co0147954', 'name': 'Syncopy'}]","['Fortress Mountain, Kananaskis Country, Alberta, Canada']"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,18000000.0,550016086.0,124.0,8.7,1516392.0,82.0,"[{'id': 'co0071326', 'name': 'Lucasfilm'}]","['Hardangerjøkulen Glacier, Finse, Norway']"
tt0133093,The Matrix,63000000.0,473333509.0,136.0,8.7,2266147.0,73.0,"[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co0108864', 'name': 'Village Roadshow Pictures'}, {'id': 'co0060075', 'name': 'Groucho Film Partnership'}]","['Nashville, Tennessee, USA']"
tt0816692,Interstellar,165000000.0,764344535.0,169.0,8.7,2579990.0,74.0,"[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co1041831', 'name': 'Legendary Pictures'}]",['Iceland']
tt0099685,GoodFellas,25000000.0,47292032.0,145.0,8.7,1404679.0,92.0,"[{'id': 'co0002663', 'name': 'Warner Bros.'}]","['Staten Island, New York City, New York, USA']"
tt0073486,One Flew Over the Cuckoo's Nest,3000000.0,109130852.0,133.0,8.6,1162651.0,84.0,"[{'id': 'co0066949', 'name': 'Fantasy Films'}, {'id': 'co0046377', 'name': 'N.V. Zvaluw'}]","['Oregon State Mental Hospital - 2600 Center Street NE, Salem, Oregon, USA']"
tt0114369,Seven,33000000.0,329813591.0,127.0,8.6,2044647.0,65.0,"[{'id': 'co0027715', 'name': 'Arnold Kopelson Productions'}, {'id': 'co0078943', 'name': 'Cecchi Gori Pictures'}, {'id': 'co0043545', 'name': 'Juno Pix'}]","['Pacific Electric Building, Los Angeles, California, USA']"
tt0038650,It's a Wonderful Life,3180000.0,11497647.0,130.0,8.6,557068.0,89.0,"[{'id': 'co0196361', 'name': 'Liberty Films (II)'}]","['Beverly Hills High School - 241 Moreno Drive, Beverly Hills, California, USA']"
tt0102926,The Silence of the Lambs,19000000.0,273138318.0,118.0,8.6,1738870.0,86.0,"[{'id': 'co0165563', 'name': 'Strong Heart/Demme Production'}, {'id': 'co0001995', 'name': 'Orion Pictures'}]","['Bimini Airport, South Bimini Island, Bimini Islands, Bahamas']"
